i = 1, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 65bc, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
