i = 1, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 1, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 2, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 3, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 4, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 5, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 6, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 7, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 8, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 9, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
i = 10, DQ = 7fff, LDQS = 1, UDQS = 1,LDQSN = x, UDQSN = x
